zip,Name,Address,Phone,Type,Website,latitude,longitude,zip
28080,Good Karma Ranch Alpacas,"1041 Brevard Place Road, Iron Station, NCÊ28080",704-649-5849,Petting farm,https://www.goodkarmaranch.com,35.446844,-81.099794,28080
27326,Raynay Alpaca Farm,1897 Ashland Rd Ruffin NC 27326,(336) 939-9400,Petting farm,www.raynayalpacas.com,36.36229482,-79.50413486,27326
27370,Briles Farm Brahmans,1782 Ross Wood Rd Trinity NC 27370,(336) 410-2126,Petting farm,www.brilesfarm.com,35.72425132,-80.02998665,27370
27540,Changing Tomorrow Farm ,6312 Cass Holt Rd Holly Springs NC 27540,(919) 000-1111,Petting farm,www.changingtomorrowfarm.com,35.61143348,-78.87028002,27540
27577,Spring Meadow Farm,2080 Wilsons Mills Rd Smithfield NC 27577,(919) 989-8878,Petting farm,www.springmeadowfarms.com,35.54783863,-78.34445007,27577
27587,Winterpast Farm,12936 Ghoston Rd Wake Forest NC 27587,(919) 000-1111,Petting farm,www.winterpast.org,35.99630326,-78.6704421,27587
28025,Farm & Fleece Alpaca Ranch,4401 Miami Church Rd Concord NC 28025,(619) 852-2862,Petting farm,www.farmandfleece.com,35.35827097,-80.50311955,28025
28139,Cherry Mountain Farm ,3946 US 64 Hwy Rutherfordton NC 28139,(828) 000-1111,Petting farm,www.cherrymountainfarm.com,35.46715589,-81.88443816,28139
28306,Gillis Hill Farm,2701 Gillis Hill Rd Fayetteville NC 28306,(910) 867-2350,Petting farm,www.gillishillfarm.com,35.01864636,-79.05392216,28306
28312,Sweet Valley Ranch,2990 Sunnyside School Rd Fayetteville NC 28312,(910) 797-2032,Petting farm,www.sweetvalleyranchnc.com,35.02476392,-78.81831163,28312
28422,Greenlands Farm Store,668 Midway Rd SE Bolivia NC 28422,(910) 253-7934,Petting farm,www.greenlandsfarm.org,34.03652755,-78.15519081,28422
28462,Grayce Wynds Farm ,2450 Grayce Wynds St SW Supply NC 28462,(910) 000-1111,Petting farm,www.graycewyndsfarm.com,33.928663,-78.303248,28462
28734,Little Rascals Pony Rides,365 Haughton Williams Rd Franklin NC 28734,(828) 421-3308,Petting farm,https://little-rascals-pony-rides-and-petting-zoo.ueniweb.com,35.21576888,-83.4269158,28734
28761,Brackett Town Farms Ltd,555 Brackett Town Rd Nebo NC 28761,(828) 000-1111,Petting farm,www.bracketttownfarms.com,35.56650677,-81.92650235,28761
29715,Crandall Bowles Children's Farm,"2573 Lake Haigler Drive, Fort Mill SC 29715",803.547.1019,Petting farm,https://www.ascgreenway.org/play/childrens-farm/,34.897292,-80.883788,29715
27954,North Carolina Aquarium at ROANOKE ISLAND,"374 Airport Road, Manteo, NC 27954",(252) 475-2300,Sea Life,https://www.ncaquariums.com/roanoke-island,35.9175132,-75.7039623,27954
27959,Jannette's Pier at Nags Head,"7223 South Virginia Dare Trail, Nags Head, NC 27959",(252) 255-1501,Sea Life,https://www.ncaquariums.com/jennettes-pier,35.9105337,-75.5977514,27959
28027,SEA LIFE Charlotte-Concord,"8111 Concord Mills Blvd Concord, North Carolina 28027",(855) 450-0512,Sea Life,https://www.visitsealife.com/charlotte-concord/,35.368749,-80.722286,28027
28445,Topsail Aquarium,"106 N Topsail Drive, Surf City NC",910-515-9751,Sea Life,https://www.topsailaquarium.com,34.4265109,-77.544811,28445
