Name,Address,Type,Phone,Website,Indoor.play,Birthday,Camps,Parent.morning.night.out,Story_time,Drop.in.care,Classes,latitude,longitude
Angel Island Fun Park,"924 NE Maynard Rd, Cary, NC 27513",Indoor playground,919-234-1340,https://angelislandusa.com,1,1,1,NA,NA,NA,NA,35.8026338,-78.77025823
Angel Island Fun Park,"3330 Westgate Dr, Durham, NC 27707",Indoor playground, 919-808-5939,https://angelislandusa.com,1,1,1,NA,NA,NA,NA,35.96751776,-78.96129796
Backyard Paradise,"3123-K Cedar Park Road Greensboro, NC 27405",Indoor playground,(910) 399-4870,https://www.byparadise.com,NA,1,NA,NA,NA,NA,NA,36.05317206,-79.73043391
Blue Jay Play Cafe,"1234 NC Hwy 210 Sneads Ferry, NC 28460",Indoor playground,(910) 620-3332,https://www.bluejayplaycafe.com/menu,1,1,NA,NA,NA,NA,NA,34.52879293,-77.43478165
Bumper Jumpers Indoor Playground,"4217 W Gate City Blvd, Greensboro, NC 27407",Indoor playground,(336) 855-0056,https://www.bumperjumpers.com,1,1,NA,NA,NA,NA,1,36.03560731,-79.86389925
Confet_ Soirée & Play,"14212 Statesville Road Suite B1 Huntersville, NC 28078",Indoor playground,(704) 274-5089,https://confetewithme.com,1,1,NA,NA,NA,NA,NA,35.41037102,-80.85496784
Fit For Fun Center,"302 S. 10th St. Wilmington, NC",Indoor playground,910.341.4630,https://www.wilmingtonnc.gov/Parks-Recreation/Facilities/Fit-For-Fun-Center,1,1,NA,NA,NA,NA,NA,34.2324681,-77.93637177
Fun City Indoor Playground,"3551 Lackey St, Lumberton, NC 28360",Indoor playground,(910) 370-0720,https://www.facebook.com/people/Fun-City-Lumberton/100084554619842/,1,1,NA,1,NA,NA,NA,34.64573483,-79.01477666
Funky Frogz Indoor Playground,"814 Spring Lane, Sanford, NC 27330",Indoor playground,919-292-0599,https://funkyfrogz.fun,1,1,NA,NA,NA,NA,NA,35.48729331,-79.19379444
Funtown Play Cafe,"4555 Charlotte Hwy Ste 19, Clover, SC 29710",Indoor playground,(803) 810-6500,https://www.funtown-playcafe.com,1,1,NA,1,1,NA,1,35.1155558,-81.05712336
Happy Feet Planet,"3419 Apex Peakway Apex, NC 27502",Indoor playground,919-267-4384,https://happyfeetplanet.com,1,1,NA,NA,NA,NA,NA,35.71440642,-78.85570939
Happy Feet Planet,"231 Guy Rd, Clayton, NC, 27520",Indoor playground,919-243-2218,https://happyfeetplanet.com,1,1,NA,NA,NA,NA,NA,35.64203499,-78.47953599
High Five Playhouse,"10101 E Independence Blvd C, Matthews, NC 28105",Indoor playground,(704) 443-7022,https://highfiveplayhouse.com,1,1,NA,NA,NA,NA,1,35.13166565,-80.7106154
Island Time Drop-n-Play,"222 Winner Avenue Carolina Beach, NC 28428",Indoor playground,(910) 599-3741,https://islandtimeplay.com,NA,1,1,NA,NA,NA,1,34.0400506,-77.89550899
Just Play,"9535 South Blvd A, Charlotte, NC 28273",Indoor playground,(704) 885-7529,justplay.net,1,1,NA,NA,NA,NA,1,35.10605425,-80.88096236
